date,calories,gsr,heart-rate,skin-temp,steps
2015-06-28 18:28Z,1.2,8.77388e-05,47,88.7,0
2015-06-28 18:29Z,1.2,8.87154e-05,46,88.7,0
2015-06-28 18:30Z,1.2,8.82258e-05,48,88.7,0
2015-06-28 18:31Z,1.5,8.72545e-05,48,88.7,0
2015-06-28 18:32Z,1.3,8.92078e-05,51,88.7,0
2015-06-28 18:33Z,1.2,9.17111e-05,43,88.7,0
2015-06-28 18:34Z,1.2,9.22202e-05,44,88.7,0
2015-06-28 18:35Z,1.5,9.32467e-05,48,89.6,0
2015-06-28 18:36Z,1.2,0.000138135,44,89.6,0
2015-06-28 18:37Z,1.2,0.000233705,44,90.5,0
2015-06-28 18:38Z,1.2,0.000268388,43,90.5,0
2015-06-28 18:39Z,1.2,0.000291622,42,91.4,0
2015-06-28 18:40Z,1.2,0.000309929,43,91.4,0
2015-06-28 18:41Z,1.2,0.000331214,43,92.3,0
2015-06-28 18:42Z,1.3,0.000346209,42,92.3,0
2015-06-28 18:43Z,1.2,0.000355925,40,92.3,0
2015-06-28 18:44Z,1.5,0.000363893,47,93.2,0
2015-06-28 18:45Z,1.2,0.000474632,44,93.2,0
2015-06-28 18:46Z,1.2,0.00057609,44,93.2,0
2015-06-28 18:47Z,1.2,0.000608876,43,93.2,0
2015-06-28 18:48Z,1.2,0.000636442,43,92.3,0
2015-06-28 18:49Z,1.2,0.00065069,43,92.3,0
2015-06-28 18:50Z,1.2,0.00068015,43,92.3,0
2015-06-28 18:51Z,1.2,0.000747257,43,92.3,0
2015-06-28 18:52Z,1.2,0.000763986,43,92.3,0
2015-06-28 18:53Z,1.3,0.000785424,43,92.3,0
2015-06-28 18:54Z,1.2,0.000794167,43,92.3,0
2015-06-28 18:55Z,1.2,0.000811946,44,92.3,0
2015-06-28 18:56Z,1.2,0.000820984,43,91.4,0
2015-06-28 18:57Z,1.2,0.000839363,44,91.4,0
2015-06-28 18:58Z,1.2,0.000862917,43,91.4,0
2015-06-28 18:59Z,1.2,0.000882235,45,91.4,0
2015-06-28 19:00Z,1.2,0.000901986,43,91.4,0
2015-06-28 19:01Z,1.2,0.000917088,42,91.4,0
2015-06-28 19:02Z,1.2,0.000932444,42,91.4,0
2015-06-28 19:03Z,1.2,0.00100201,43,91.4,0
2015-06-28 19:04Z,1.3,0.00107082,43,91.4,0
2015-06-28 19:05Z,1.2,0.00110087,43,91.4,0
2015-06-28 19:06Z,1.2,0.00112552,42,91.4,0
2015-06-28 19:07Z,1.2,0.00119617,42,91.4,0
2015-06-28 19:08Z,1.2,0.0012162,42,91.4,0
2015-06-28 19:09Z,1.2,0.00125033,42,90.5,0
2015-06-28 19:10Z,1.2,0.00127127,43,90.5,0
2015-06-28 19:11Z,1.2,0.00132149,43,90.5,0
2015-06-28 19:12Z,1.2,0.00135107,44,90.5,0
2015-06-28 19:13Z,1.2,0.00163988,43,90.5,0
2015-06-28 19:14Z,1.3,0.00167659,43,90.5,0
2015-06-28 19:15Z,1.2,0.00164898,43,90.5,0
2015-06-28 19:16Z,1.2,0.00163988,43,90.5,0
2015-06-28 19:17Z,1.2,0.0016859,44,90.5,0
2015-06-28 19:18Z,1.5,0.0017525,46,90.5,0
2015-06-28 19:19Z,1.3,0.00105319,41,90.5,0
2015-06-28 19:20Z,1.2,0.00101316,41,90.5,0
2015-06-28 19:21Z,1.3,0.00101879,42,90.5,0
2015-06-28 19:22Z,1.2,0.00138899,42,90.5,0
2015-06-28 19:23Z,1.2,0.00155158,43,90.5,0
2015-06-28 19:24Z,1.2,0.00171413,43,90.5,0
2015-06-28 19:25Z,1.2,0.00183184,43,90.5,0
2015-06-28 19:26Z,1.3,0.00183184,43,90.5,0
2015-06-28 19:27Z,1.2,0.00192541,42,90.5,0
2015-06-28 19:28Z,1.2,0.00190421,42,90.5,0
2015-06-28 19:29Z,1.2,0.00195765,41,90.5,0
2015-06-28 19:30Z,1.2,0.00192541,41,90.5,0
2015-06-28 19:31Z,1.2,0.00190421,41,90.5,0
2015-06-28 19:32Z,1.2,0.00206906,43,90.5,0
2015-06-28 19:33Z,1.2,0.00202375,41,89.6,0
2015-06-28 19:34Z,1.2,0.00212712,41,89.6,0
2015-06-28 19:35Z,1.3,0.00223577,42,89.6,0
2015-06-28 19:36Z,1.6,0.00234996,59,89.6,0
2015-06-28 19:37Z,1.2,0.0025393,51,89.6,0
2015-06-28 19:38Z,1.7,0.00687704,55,89.6,0
2015-06-28 19:39Z,1.2,0.000311649,42,89.6,0
2015-06-28 19:40Z,1.3,0.000277451,41,89.6,0
2015-06-28 19:41Z,1.2,0.000299805,39,89.6,0
2015-06-28 19:42Z,1.2,0.000303143,39,89.6,0
2015-06-28 19:43Z,1.2,0.000320395,39,88.7,0
2015-06-28 19:44Z,1.3,0.000316868,44,88.7,0
2015-06-28 19:45Z,1.2,0.000103015,40,88.7,0
2015-06-28 19:46Z,1.2,0.000103587,41,88.7,0
2015-06-28 19:47Z,1.2,0.000117651,43,88.7,0
2015-06-28 19:48Z,1.2,0.000144389,39,89.6,0
2015-06-28 19:49Z,1.2,0.000156023,42,89.6,0
2015-06-28 19:50Z,1.2,0.000156023,42,89.6,0
2015-06-28 19:51Z,1.2,0.000172368,42,89.6,0
2015-06-28 19:52Z,1.4,0.000174287,42,89.6,0
2015-06-28 19:53Z,1.2,0.000695377,39,89.6,0
2015-06-28 19:54Z,1.2,0.000699236,46,89.6,0
2015-06-28 19:55Z,1.5,0.000703117,49,89.6,0
2015-06-28 19:56Z,1.3,0.00115072,44,89.6,0
2015-06-28 19:57Z,1.2,0.000598849,40,89.6,0
